uid,grid_id,year,month,srad_mj_m2_day
"[11.0, 2016, 01]",11.0,2016,1.0,2145.823049219689
"[11.0, 2016, 02]",11.0,2016,2.0,1858.2219687875152
"[11.0, 2016, 03]",11.0,2016,3.0,1711.1506602641057
"[11.0, 2016, 04]",11.0,2016,4.0,1571.2831932773113
"[11.0, 2016, 05]",11.0,2016,5.0,2012.2957983193282
"[11.0, 2016, 06]",11.0,2016,6.0,1778.0060024009613
"[11.0, 2016, 07]",11.0,2016,7.0,1450.7855942376957
"[11.0, 2016, 08]",11.0,2016,8.0,1383.0503001200484
"[11.0, 2016, 09]",11.0,2016,9.0,1576.647539015607
"[11.0, 2016, 10]",11.0,2016,10.0,1738.5553421368554
"[11.0, 2016, 11]",11.0,2016,11.0,2064.814525810325
"[11.0, 2016, 12]",11.0,2016,12.0,1777.4260504201684
"[12.0, 2016, 01]",12.0,2016,1.0,2075.128115999603
"[12.0, 2016, 02]",12.0,2016,2.0,1861.8085212036954
"[12.0, 2016, 03]",12.0,2016,3.0,1697.4099711987283
"[12.0, 2016, 04]",12.0,2016,4.0,1565.175687754494
"[12.0, 2016, 05]",12.0,2016,5.0,2042.771576124739
"[12.0, 2016, 06]",12.0,2016,6.0,1794.5672857284735
"[12.0, 2016, 07]",12.0,2016,7.0,1495.3740192670573
"[12.0, 2016, 08]",12.0,2016,8.0,1322.6831860164864
"[12.0, 2016, 09]",12.0,2016,9.0,1624.4434402621907
"[12.0, 2016, 10]",12.0,2016,10.0,1739.7166550799484
"[12.0, 2016, 11]",12.0,2016,11.0,2050.452577217202
"[12.0, 2016, 12]",12.0,2016,12.0,1755.0806435594393
"[13.0, 2016, 01]",13.0,2016,1.0,2595.2677881963596
"[13.0, 2016, 02]",13.0,2016,2.0,2457.504688361831
"[13.0, 2016, 03]",13.0,2016,3.0,2284.7435190292335
"[13.0, 2016, 04]",13.0,2016,4.0,1955.314120242692
"[13.0, 2016, 05]",13.0,2016,5.0,2011.0890788747931
"[13.0, 2016, 06]",13.0,2016,6.0,1647.9015444015445
"[13.0, 2016, 07]",13.0,2016,7.0,1678.8477661334805
"[13.0, 2016, 08]",13.0,2016,8.0,1888.8717595146168
"[13.0, 2016, 09]",13.0,2016,9.0,2026.3957528957526
"[13.0, 2016, 10]",13.0,2016,10.0,2123.9649751792613
"[13.0, 2016, 11]",13.0,2016,11.0,2420.9437396580256
"[13.0, 2016, 12]",13.0,2016,12.0,2110.8276337562056
"[14.0, 2016, 01]",14.0,2016,1.0,2583.09823023218
"[14.0, 2016, 02]",14.0,2016,2.0,2460.578340639714
"[14.0, 2016, 03]",14.0,2016,3.0,2274.0706283487575
"[14.0, 2016, 04]",14.0,2016,4.0,1955.4705309303456
"[14.0, 2016, 05]",14.0,2016,5.0,2004.4995940899494
"[14.0, 2016, 06]",14.0,2016,6.0,1639.197921740542
"[14.0, 2016, 07]",14.0,2016,7.0,1651.030849163825
"[14.0, 2016, 08]",14.0,2016,8.0,1846.9659035557718
"[14.0, 2016, 09]",14.0,2016,9.0,1986.5663257022243
"[14.0, 2016, 10]",14.0,2016,10.0,2093.4205228121446
"[14.0, 2016, 11]",14.0,2016,11.0,2392.2700113654814
"[14.0, 2016, 12]",14.0,2016,12.0,2095.7731774638737
"[15.0, 2016, 01]",15.0,2016,1.0,2462.5
"[15.0, 2016, 02]",15.0,2016,2.0,2409.5833333333335
"[15.0, 2016, 03]",15.0,2016,3.0,2229.5416666666665
"[15.0, 2016, 04]",15.0,2016,4.0,1893.9166666666667
"[15.0, 2016, 05]",15.0,2016,5.0,1996.0833333333333
"[15.0, 2016, 06]",15.0,2016,6.0,1606.375
"[15.0, 2016, 07]",15.0,2016,7.0,1601.0
"[15.0, 2016, 08]",15.0,2016,8.0,1812.2916666666667
"[15.0, 2016, 09]",15.0,2016,9.0,1910.5
"[15.0, 2016, 10]",15.0,2016,10.0,2025.875
"[15.0, 2016, 11]",15.0,2016,11.0,2327.0
"[15.0, 2016, 12]",15.0,2016,12.0,2073.2083333333335
"[16.0, 2016, 01]",16.0,2016,1.0,2300.564025098768
"[16.0, 2016, 02]",16.0,2016,2.0,1949.1861491982338
"[16.0, 2016, 03]",16.0,2016,3.0,1936.1787125261444
"[16.0, 2016, 04]",16.0,2016,4.0,1815.511503602138
"[16.0, 2016, 05]",16.0,2016,5.0,1832.4891935858702
"[16.0, 2016, 06]",16.0,2016,6.0,1652.3776435045318
"[16.0, 2016, 07]",16.0,2016,7.0,1582.3411573320939
"[16.0, 2016, 08]",16.0,2016,8.0,1621.6816174761793
"[16.0, 2016, 09]",16.0,2016,9.0,1649.2370439228444
"[16.0, 2016, 10]",16.0,2016,10.0,1848.7562165930747
"[16.0, 2016, 11]",16.0,2016,11.0,2007.949337671392
"[16.0, 2016, 12]",16.0,2016,12.0,2009.4078549848944
"[17.0, 2016, 01]",17.0,2016,1.0,2166.3473073030423
"[17.0, 2016, 02]",17.0,2016,2.0,1857.5116923240826
"[17.0, 2016, 03]",17.0,2016,3.0,1847.8483992968627
"[17.0, 2016, 04]",17.0,2016,4.0,1769.4228413146536
"[17.0, 2016, 05]",17.0,2016,5.0,1796.0993980716985
"[17.0, 2016, 06]",17.0,2016,6.0,1639.4989612741704
"[17.0, 2016, 07]",17.0,2016,7.0,1549.5154210834708
"[17.0, 2016, 08]",17.0,2016,8.0,1620.5061524529906
"[17.0, 2016, 09]",17.0,2016,9.0,1635.1040856549298
"[17.0, 2016, 10]",17.0,2016,10.0,1785.0063388909605
"[17.0, 2016, 11]",17.0,2016,11.0,1919.5817930005871
"[17.0, 2016, 12]",17.0,2016,12.0,1973.824748308741
"[18.0, 2016, 01]",18.0,2016,1.0,2186.730112666439
"[18.0, 2016, 02]",18.0,2016,2.0,1857.1304199385454
"[18.0, 2016, 03]",18.0,2016,3.0,1862.8890406282005
"[18.0, 2016, 04]",18.0,2016,4.0,1783.069136223967
"[18.0, 2016, 05]",18.0,2016,5.0,1812.0539433253666
"[18.0, 2016, 06]",18.0,2016,6.0,1659.5675998634347
"[18.0, 2016, 07]",18.0,2016,7.0,1560.664902697166
"[18.0, 2016, 08]",18.0,2016,8.0,1615.8704335950838
"[18.0, 2016, 09]",18.0,2016,9.0,1633.4960737453055
"[18.0, 2016, 10]",18.0,2016,10.0,1790.4334243769204
"[18.0, 2016, 11]",18.0,2016,11.0,1931.888699214749
"[18.0, 2016, 12]",18.0,2016,12.0,1982.3762376237626
"[19.0, 2016, 01]",19.0,2016,1.0,2141.6750838429666
"[19.0, 2016, 02]",19.0,2016,2.0,2058.632669165516
