uid,grid_id,year,month,tavg_celsius,tmmx_celsius,tmmn_celsius
"[90.0, 2019, 09]",90.0,2019,9.0,28.75685414516684,32.99583763329893,24.51787065703474
"[90.0, 2019, 10]",90.0,2019,10.0,28.044676642586868,31.962057103543167,24.127296181630552
"[90.0, 2019, 11]",90.0,2019,11.0,28.11595287237702,31.73980048159616,24.49210526315789
"[90.0, 2019, 12]",90.0,2019,12.0,27.71798245614034,31.070175438596493,24.36578947368421
"[91.0, 2019, 01]",91.0,2019,1.0,27.73069849344551,31.08518880845236,24.376208178438663
"[91.0, 2019, 02]",91.0,2019,2.0,27.762972021130896,31.24957933868129,24.27636470358052
"[91.0, 2019, 03]",91.0,2019,3.0,28.172735276853842,31.8999413030718,24.44552925063588
"[91.0, 2019, 04]",91.0,2019,4.0,29.503375073371163,33.44615535120329,25.560594795539036
"[91.0, 2019, 05]",91.0,2019,5.0,29.534376834279,33.59968694971629,25.469066718841717
"[91.0, 2019, 06]",91.0,2019,6.0,28.782009391508517,32.82011348072785,24.74390530228918
"[91.0, 2019, 07]",91.0,2019,7.0,28.46667971042849,32.59002152220701,24.343337898649967
"[91.0, 2019, 08]",91.0,2019,8.0,29.014155742516152,33.195010761103504,24.83330072392878
"[91.0, 2019, 09]",91.0,2019,9.0,28.790843279201724,32.85447074936411,24.727215809039325
"[91.0, 2019, 10]",91.0,2019,10.0,28.024554881627864,31.805145764038357,24.24396399921738
"[91.0, 2019, 11]",91.0,2019,11.0,28.015593817256896,31.625572295049903,24.4056153394639
"[91.0, 2019, 12]",91.0,2019,12.0,27.618117785169247,31.010604578360397,24.22563099197809
"[92.0, 2019, 01]",92.0,2019,1.0,28.469565217391303,33.3478260869565,23.591304347826092
"[92.0, 2019, 02]",92.0,2019,2.0,29.352173913043476,35.01739130434782,23.686956521739127
"[92.0, 2019, 03]",92.0,2019,3.0,29.66304347826087,35.4391304347826,23.88695652173913
"[92.0, 2019, 04]",92.0,2019,4.0,29.930434782608696,35.22173913043479,24.63913043478261
"[92.0, 2019, 05]",92.0,2019,5.0,29.263043478260872,33.595652173913045,24.93043478260869
"[92.0, 2019, 06]",92.0,2019,6.0,28.858695652173925,32.83478260869565,24.882608695652177
"[92.0, 2019, 07]",92.0,2019,7.0,28.78478260869565,32.82173913043478,24.74782608695652
"[92.0, 2019, 08]",92.0,2019,8.0,28.145652173913046,32.10000000000001,24.191304347826087
"[92.0, 2019, 09]",92.0,2019,9.0,28.093478260869563,31.960869565217383,24.22608695652174
"[92.0, 2019, 10]",92.0,2019,10.0,27.547826086956526,31.36956521739129,23.72608695652174
"[92.0, 2019, 11]",92.0,2019,11.0,28.004347826086956,31.743478260869562,24.26521739130435
"[92.0, 2019, 12]",92.0,2019,12.0,27.83695652173913,31.85217391304347,23.821739130434786
